,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,PrgDist Car,Prog
Sargis Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,27-187,1993,0.8,27.5,37.5,73.3,377.5,90,20,26.3,76.2,3.75,3.75,100,3.75,5,75,1.25,0.37,0.87,2.5,1.25,3.75,1.25,77.5,3.75
Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,23-063,1997,5,44.6,50.6,88.1,1102.6,383.6,9.2,10.2,90.2,21.2,23.4,90.6,13.4,16,83.8,0,0,0,0.2,3.2,0,0,56.6,1.8
Yacine Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,20-120,2000,5.2,5.2,59,83.4,927.1,249.4,18.5,21.2,87.3,21,24.2,86.5,8.08,11,73.7,0.19,0.15,0.04,2.12,4.81,0.58,0,164,5.19
Andrea Adorante,it ITA,FW,Parma,it Serie A,20-295,2000,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,150,
Adrián,es ESP,GK,Liverpool,eng Premier League,33-328,1987,2,21.5,31,69.4,573.5,361.5,6,6,100,9,9.5,94.7,5.5,14.5,37.9,0,0,0,0,0,0,0,32.5,0
Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,24-200,1996,1.7,22.9,35.3,65,373.5,239.4,12.9,15.3,84.6,8.24,15.9,51.9,1.18,3.53,33.3,0,0.18,-0.18,0.59,2.94,0,0,41.2,2.35
Lucien Agoume,fr FRA,MF,Spezia,it Serie A,18-291,2002,1.1,54.5,61.8,88.2,1233.6,272.7,20,20,100,21.8,23.6,92.3,11.8,16.4,72.2,0,0,0,0.91,5.45,0,0,70,4.55
Felix Agu,de GER,FW,Werder Bremen,de Bundesliga,21-060,1999,0.3,10,26.7,37.5,216.7,166.7,6.67,13.3,50,0,6.67,0,3.33,3.33,100,0,0.67,-0.67,3.33,3.33,0,0,73.3,6.67
Kevin Agudelo,co COL,FW,Spezia,it Serie A,22-012,1998,3.6,20.6,26.4,77.9,398.1,69.7,8.61,8.89,96.9,8.61,11.4,75.6,3.33,4.44,75,0,0.03,-0.03,0.28,2.22,0.56,0,169.2,1.67
Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,24-241,1996,11,75.3,83.1,90.6,1582.4,569.9,24.2,25.6,94.3,36.3,38.3,94.8,13.7,17.8,77,0,0.02,-0.02,0.18,4.18,0,0,178.5,4.18
Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,32-177,1988,1.2,23.3,29.2,80,253.3,35,13.3,15.8,84.2,4.17,5,83.3,0.83,0.83,100,0,0.5,-0.5,2.5,1.67,0.83,0,75.8,0.83
Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,27-214,1993,9.5,62.3,73.2,85.2,1066.9,341.4,30.4,32.3,94.1,24.6,28.9,85.1,5.89,9.58,61.5,0.11,0.15,-0.04,1.68,4.84,1.79,1.16,181.4,5.37
Matteo Ahlinvi,bj BEN,MF,Nîmes,fr Ligue 1,21-147,1999,2.1,15.7,20.5,76.7,331.9,53.8,5.71,6.67,85.7,6.67,7.62,87.5,3.33,5.24,63.6,0,0,0,0.48,1.43,0.95,0,138.6,1.43
Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,26-251,1994,3.6,25.3,31.1,81.3,438.1,116.9,11.9,14.2,84.3,9.72,11.4,85.4,2.78,4.17,66.7,0,0,0,0,2.78,0,0,53.1,1.39
Jean-Eudes Aholou,ci CIV,MF,Monaco,fr Ligue 1,26-251,1994,0.4,20,25,80,392.5,82.5,2.5,2.5,100,17.5,20,87.5,0,2.5,0,0,0,0,0,2.5,0,0,30,5
Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25-058,1995,6.4,36.1,43.8,82.5,790,268.6,9.06,10.6,85.3,20.3,23.1,87.8,6.72,9.06,74.1,0,0.09,-0.09,0.31,3.13,0.31,0,102.5,2.81
Ola Aina,ng NGA,DF,Fulham,eng Premier League,24-049,1996,6,54,68.7,78.6,939.8,314.2,27.7,29.3,94.3,19.8,23.2,85.6,5.67,13.8,41,0,0.03,-0.03,0.83,3.83,0.67,0.5,160,4.33
Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,19-173,2001,2.1,64.8,71,91.3,891.9,357.1,42.9,43.8,97.8,17.1,20.5,83.7,1.9,2.86,66.7,0.48,0.19,0.29,1.9,0.48,1.9,1.43,146.4,5.71
Rayan Aït Nouri,fr FRA,DF,Wolves,eng Premier League,19-173,2001,2.8,43.9,53.9,81.5,657.5,205.4,23.2,25.4,91.5,18.2,20.7,87.9,1.43,3.93,36.4,0,0.11,-0.11,1.07,2.14,1.43,0.71,245.2,3.93
Semi Ajayi,ng NGA,DF,West Brom,eng Premier League,27-017,1993,8,30.9,38.1,81,665.4,238.3,9.25,9.75,94.9,15.3,18.1,84.1,6.25,10,62.5,0,0,0,0,1.75,0,0,87,1.63
Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,26-275,1994,9.9,19.1,27,70.8,346.8,62.1,9.6,13,73.6,5.86,7.98,73.4,2.53,3.64,69.4,0.2,0.11,0.09,1.01,1.82,0.4,0.3,51.8,1.82
Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,25-130,1995,7,82,87.1,94.1,1638.4,526.7,29,30.1,96.2,41.4,42.7,97,11,13,84.6,0,0,0,0.14,6.43,0.14,0,180.7,4.29
