,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,PrgDist Car,Prog
Felipe,br BRA,DF,Atlético Madrid,es La Liga,31-194,1989,4.5,46,53.6,85.9,950.7,343.3,16.7,18.4,90.4,21.1,24.2,87.2,8,10.7,75,0,0,0,0,2.67,0,0,110.4,2.22
Luiz Felipe,br BRA,DF,Lazio,it Serie A,23-249,1997,2,53.5,59,90.7,1147.5,258.5,18.5,19,97.4,26,29,89.7,9,11,81.8,0,0,0,0.5,5,0.5,0,184,3
Ohis Felix Uduokhai,de GER,DF,Augsburg,de Bundesliga,23-078,1997,8,45.1,51,88.5,978.8,261.9,13,14,92.9,22.9,24.4,93.8,9,11.8,76.6,0,0,0,0,1.75,0,0,110.5,1.75
Joáo Félix,pt POR,FW,Atlético Madrid,es La Liga,21-016,1999,6.3,37.6,44.8,84,525.6,179.5,23.3,26.2,89.1,9.21,11.3,81.7,2.06,3.02,68.4,0.32,0.3,0.02,1.9,4.29,1.43,0,#N/A,4.92
Zinedine Ferhat,dz ALG,FW,Nîmes,fr Ligue 1,27-270,1993,8,23.1,37.9,61.1,411.4,144.3,12.1,15.6,77.6,7.13,12.3,58.2,3.25,7.13,45.6,0.38,0.14,0.24,1.38,2.25,1.63,0.63,106.4,4.13
Bruno Fernandes,pt POR,MF,Manchester Utd,eng Premier League,26-079,1994,7.3,54.9,73.6,74.7,1083,374,24.9,29.6,84.3,18.8,23,81.5,9.86,16,61.5,0.41,0.34,0.07,3.42,8.08,3.42,0.41,163.2,9.59
Edimilson Fernandes,ch SUI,MF,Mainz 05,de Bundesliga,24-225,1996,2.5,24.4,34.4,70.9,405.6,155.6,11.6,12.4,93.5,9.6,12.8,75,2,6.8,29.4,0,0.04,-0.04,0.8,0.4,0,0,40.4,1.6
Aitor Fernández,es ESP,GK,Levante,es La Liga,29-207,1991,8,19.9,27.4,72.6,508.5,300.4,4.38,4.38,100,8.5,8.75,97.1,6.13,13.4,45.8,0,0,0,0,0.25,0,0,32.4,0
ílex Fernández,es ESP,MFFW,Cádiz,es La Liga,28-042,1992,8.9,26.5,36.4,72.8,526.5,157.9,11.3,13.1,86.3,9.78,12,81.3,4.94,10,49.4,0,0.09,-0.09,0.79,2.13,0.67,0.34,#N/A,1.91
Andrés Fernández,es ESP,GK,Huesca,es La Liga,33-345,1986,10,24,35.6,67.4,649.7,383.1,4.7,4.7,100,12.2,12.2,100,7,18.5,37.8,0,0,0,0,0.1,0,0,45.2,0
Augusto Fernández,ar ARG,MF,Cádiz,es La Liga,34-230,1986,2.5,20.8,26.8,77.6,384.8,66.8,8.4,10,84,7.6,9.2,82.6,3.6,6,60,0,0,0,0,0.8,0.4,0,47.2,1.2
Carlos Fernández,es ESP,FW,Sevilla,es La Liga,24-188,1996,1.6,18.1,24.4,74.4,233.8,51.3,10.6,12.5,85,6.25,8.75,71.4,0,1.25,0,0,0.06,-0.06,0.63,1.25,0,0,59.4,1.25
Federico Fernández,ar ARG,DF,Newcastle Utd,eng Premier League,31-279,1989,9,32.4,39.8,81.6,780.4,206.7,7.44,9,82.7,16.3,18.2,89.6,8.44,11.8,71.7,0,0,0,0.11,0.78,0,0,35.4,0.44
Joaquí­n Fernández,es ESP,DF,Valladolid,es La Liga,24-179,1996,6,23.8,29.8,79.9,554.3,159.2,6.83,7.17,95.3,11,13,84.6,5.67,9,63,0,0,0,0,1.33,0,0,30.3,1
Fernandinho,br BRA,MF,Manchester City,eng Premier League,35-206,1985,1.7,91.2,104.7,87.1,1817.1,477.1,39.4,41.8,94.4,37.6,44.1,85.3,13.5,17.6,76.7,0,0,0,0,17.1,1.18,0,267.1,11.8
Fernando,br BRA,MF,Sevilla,es La Liga,33-124,1987,6,44.7,48.8,91.5,838.3,214.8,17.7,19,93,21.7,23.2,93.5,5,6.17,81.1,0.17,0.05,0.12,0.83,2.33,0.33,0,74.3,2.67
David Ferreiro,es ESP,FWMF,Huesca,es La Liga,32-239,1988,8.3,27,45.4,59.4,524.7,204.6,11.4,15.5,73.6,10.6,15.1,70.4,4.58,12.8,35.8,0.12,0.19,-0.07,2.89,2.41,1.81,0.36,143.3,3.49
Salvador Ferrer,es ESP,DF,Spezia,it Serie A,22-310,1998,3.8,,,,,,,,,,,,,,,0.26,,,,,,,,
Jordan Ferri,fr FRA,MF,Montpellier,fr Ligue 1,28-259,1992,8.2,46.7,56.1,83.3,969.4,208,16.2,17.9,90.5,21,24.4,86,8.66,11.2,77.2,0,0.04,-0.04,0.85,4.15,0.61,0.12,114.3,4.63
Fidel,es ESP,DF,Elche,es La Liga,31-030,1989,6.4,40.9,53.3,76.8,705.2,222.3,20.6,22.5,91.7,15,19.2,78,4.06,8.91,45.6,0.31,0.28,0.03,1.09,2.66,0.63,0.47,130,2.34
Sam Field,eng ENG,MF,West Brom,eng Premier League,22-202,1998,0.7,21.4,32.9,65.2,318.6,58.6,14.3,20,71.4,5.71,7.14,80,1.43,4.29,33.3,0,0,0,0,1.43,0,0,27.1,2.86
Alfreð Finnbogason,is ISL,FW,Augsburg,de Bundesliga,31-299,1989,2.1,17.1,28.6,60,380.5,99.5,4.29,9.52,45,7.62,11.9,64,4.76,5.24,90.9,0.48,0.29,0.19,2.38,2.86,0.48,0,100,3.33
Roberto Firmino,br BRA,FWMF,Liverpool,eng Premier League,29-055,1991,7.9,31.3,38.6,81,454.3,104.4,18.1,20.9,86.7,10.3,12.5,81.8,1.39,2.15,64.7,0.25,0.16,0.09,1.27,2.53,0.76,0,79.1,3.29
John Fleck,sco SCO,MF,Sheffield Utd,eng Premier League,29-094,1991,3,32.7,42.3,77.2,569.7,202,17.3,19.3,89.7,10.7,13.7,78,4,7.67,52.2,0,0.03,-0.03,1.33,5.33,2,0,122.7,5.33
Alessandro Florenzi,it ITA,DFFW,Paris S-G,fr Ligue 1,29-260,1991,5.2,46.3,55,84.3,800.6,241.5,23.5,25.2,93.1,17.1,20.6,83.2,5.19,8.08,64.3,0,0.21,-0.21,1.92,2.69,2.5,1.73,128.1,4.04
Kingsley Fobi,gh GHA,DF,Granada,es La Liga,22-067,1998,0.5,16,24,66.7,254,136,8,12,66.7,8,12,66.7,0,0,,0,0,0,0,0,2,0,52,2
Phil Foden,eng ENG,FWDF,Manchester City,eng Premier League,20-182,2000,4.5,36.2,43.1,84,570.9,108.2,20.4,22,92.9,12.4,15.8,78.9,2.44,3.56,68.8,0,0.02,-0.02,0.67,2.44,1.56,0,139.3,4.44
Mamadou Fofana,ml MLI,MFDF,Metz,fr Ligue 1,22-310,1998,5.2,27.3,34,80.2,515,162.1,10.6,12.5,84.6,12.7,14.6,86.8,3.46,6.15,56.3,0,0,0,0.19,1.15,0,0,42.7,2.12
Seko Fofana,ci CIV,MF,Lens,fr Ligue 1,25-203,1995,1.5,61.3,66,92.9,1114.7,212,26,29.3,88.6,30,30.7,97.8,5.33,5.33,100,0,0,0,0.67,2.67,0.67,0,182,4
Wesley Fofana,fr FRA,DF,Leicester City,eng Premier League,19-345,2000,5,35.2,41,85.9,724,224.4,12.8,14.2,90.1,15.4,17.2,89.5,6.4,8.6,74.4,0,0,0,0.2,4.2,0,0,131.6,2.6
Wesley Fofana,fr FRA,DF,Saint-Étienne,fr Ligue 1,19-345,2000,3.5,42.3,52.6,80.4,868.9,307.7,13.4,15.4,87,22.9,24.3,94.1,5.71,11.4,50,0,0,0,0.29,2,0,0,136.3,3.14
Youssouf Fofana,fr FRA,MF,Monaco,fr Ligue 1,21-321,1999,7.6,47.8,56.6,84.4,984.9,221.1,17.9,19.9,90.1,20.3,23.4,86.5,8.55,11.6,73.9,0.13,0.13,0,1.97,5.13,0.92,0,154.6,4.08
Thomas Foket,be BEL,DF,Reims,fr Ligue 1,26-062,1994,10,43.9,53.5,82.1,866.3,290.3,16.8,17.8,94.4,21.4,25.8,82.9,5.6,8.8,63.6,0,0.01,-0.01,0.4,2.5,1,0.5,147.2,3.2
Ramón Folch,es ESP,MF,Elche,es La Liga,31-053,1989,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,
Lamine Fomba,fr FRA,MF,Nîmes,fr Ligue 1,22-305,1998,6.9,16.8,22.3,75.3,249.9,54.8,9.13,11.4,79.7,5.94,7.83,75.9,0.58,1.16,50,0,0.01,-0.01,0.43,1.3,0,0,53.8,0.87
Thomas Fontaine,mg MAD,DF,Lorient,fr Ligue 1,29-202,1991,2.8,27.5,31.1,88.5,596.1,262.9,8.21,9.29,88.5,13.2,13.6,97.4,5.36,7.14,75,0,0,0,0,1.43,0,0,51.1,1.07
José Fontán,es ESP,DF,Celta Vigo,es La Liga,20-289,2000,3.3,38.8,49.4,78.5,825.8,290.3,10,11.8,84.6,22.4,26.4,85.1,5.45,8.48,64.3,0,0,0,0,4.24,0.61,0,164.8,5.76
José Fonte,pt POR,DF,Lille,fr Ligue 1,36-340,1983,9.4,57.6,64.1,89.7,1233.1,372.6,17.1,18.4,93.1,28.9,30.4,95.1,11,14.3,76.9,0,0.02,-0.02,0.53,1.91,0.11,0.11,117.4,2.87
Fernando Forestieri,it ITA,MFDF,Udinese,it Serie A,30-316,1990,1.4,40.7,50.7,80.3,613.6,188.6,25.7,27.9,92.3,12.1,17.1,70.8,2.14,3.57,60,0.71,0.71,0,2.86,0.71,3.57,2.14,122.1,3.57
Pablo Fornals,es ESP,MFFW,West Ham,eng Premier League,24-278,1996,8.2,25.7,32.4,79.3,444.1,107.2,13.3,14.9,89.3,9.51,11.8,80.4,2.8,4.27,65.7,0.24,0.1,0.15,0.85,1.95,0.61,0.12,100.7,2.8
Emil Forsberg,se SWE,FWMF,RB Leipzig,de Bundesliga,29-034,1991,5.3,25.7,33.4,76.8,407.4,86.4,15.1,17.9,84.2,6.79,8.49,80,3.21,4.91,65.4,0.19,0.21,-0.02,1.32,2.26,1.7,0,89.4,2.64
Philipp Förster,de GER,FW,Stuttgart,de Bundesliga,25-296,1995,0.2,20,25,80,235,40,15,15,100,5,10,50,0,0,,0,0,0,0,5,0,0,65,0
Steven Fortes,cv CPV,DF,Lens,fr Ligue 1,28-223,1992,2.3,50,59.6,83.9,1156.1,349.6,12.2,13.9,87.5,26.5,29.6,89.7,10.9,15.7,69.4,0,0,0,0.43,3.48,0,0,127.8,3.48
Timothy Fosu-Mensah,nl NED,DF,Manchester Utd,eng Premier League,22-329,1998,0.9,72.2,83.3,86.7,1188.9,286.7,33.3,37.8,88.2,35.6,37.8,94.1,3.33,6.67,50,0,0.33,-0.33,2.22,4.44,1.11,1.11,196.7,1.11
Daam Foulon,be BEL,DF,Benevento,it Serie A,21-248,1999,5.2,35.4,46.2,76.7,666,257.3,12.3,14.8,83.1,18.8,22.7,83.1,4.04,6.92,58.3,0.19,0.02,0.17,0.58,2.69,0.58,0.19,106.5,3.27
Dimitri Foulquier,fr FRA,DF,Granada,es La Liga,27-248,1993,7,32.9,43,76.4,548.4,238.1,16.3,20,81.4,13.6,16.3,83.3,2.43,4.71,51.5,0.29,0.16,0.13,0.86,0.86,0.71,0.29,102.3,2.57
Juan Foyth,ar ARG,DFMF,Villarreal,es La Liga,22-319,1998,0.1,90,110,81.8,1630,720,30,30,100,50,60,83.3,10,10,100,0,0,0,0,0,0,0,340,0
Gianluca Frabotta,it ITA,DF,Juventus,it Serie A,21-155,1999,3.1,48.7,60.6,80.3,876.8,287.7,18.4,21,87.7,25.5,30,84.9,3.87,7.1,54.5,0,0,0,0,2.26,0.65,0.32,86.1,4.19
Raphael Framberger,de GER,DF,Augsburg,de Bundesliga,25-081,1995,5.7,26,36.7,70.8,450,249.8,12.8,15.8,81.1,11.2,14.6,77.1,1.93,4.39,44,0.18,0.18,0,0.7,1.05,0.7,0.18,106,2.98
Ryan Fraser,sco SCO,MF,Newcastle Utd,eng Premier League,26-276,1994,2.1,22.9,35.7,64,352.4,60,11,13.3,82.1,9.52,12.9,74.1,0.95,6.19,15.4,0,0,0,0,0.48,0,0,111,0.48
Fred,br BRA,MF,Manchester Utd,eng Premier League,27-266,1993,5.1,60.6,68.6,88.3,1179.4,279.6,25.5,26.7,95.6,23.7,26.9,88.3,10.6,13.1,80.6,0,0.14,-0.14,0.78,5.49,0.78,0,131.8,4.9
Ryan Fredericks,eng ENG,DF,West Ham,eng Premier League,28-047,1992,2.5,35.6,48.4,73.6,538.8,174.4,20,22,90.9,14,20.4,68.6,1.2,4,30,0.4,0.44,-0.04,3.6,2,2,1.6,98,1.6
Remo Freuler,ch SUI,MF,Atalanta,it Serie A,28-225,1992,4.2,59,67.9,87,1104,297.9,23.8,25.7,92.6,27.1,30,90.5,6.67,9.29,71.8,0.24,0.14,0.1,0.71,6.9,1.19,0.24,127.6,6.67
Marco Friedl,at AUT,DF,Werder Bremen,de Bundesliga,22-255,1998,8,39.8,49.5,80.3,982.3,321.5,7.5,8.63,87,21.6,23.9,90.6,9.88,15.6,63.2,0,0.03,-0.03,0.38,3.88,0.38,0.25,115.3,4.13
Marvin Friedrich,de GER,DF,Union Berlin,de Bundesliga,24-349,1995,8,54.9,63.3,86.8,1309,448.3,13.6,14.6,93.2,26,27.4,95,14.6,19.9,73.6,0,0.04,-0.04,0.38,5.63,0.5,0,189.8,5.5
Jorge de Frutos,es ESP,MFFW,Levante,es La Liga,23-280,1997,2.8,24.6,35.4,69.7,399.3,112.1,12.5,15.7,79.5,9.29,12.5,74.3,2.5,5.36,46.7,0,0.11,-0.11,1.79,1.07,2.14,0.71,132.5,3.21
Christian Fuchs,at AUT,DF,Leicester City,eng Premier League,34-233,1986,3.8,45,57.4,78.4,835.3,415.8,20.3,22.9,88.5,19.7,23.2,85.2,5,10.3,48.7,0,0,0,0,2.63,0,0,75,2.89
Angelo Fulgini,fr FRA,MFFW,Angers,fr Ligue 1,24-098,1996,10.8,45.6,55.6,82.2,789.5,222.1,23.7,26.1,90.8,16.3,19.2,85,5,8.8,56.8,0.19,0.18,0.01,2.31,3.7,0.83,0.19,183.1,4.26
Niclas Füllkrug,de GER,FW,Werder Bremen,de Bundesliga,27-291,1993,3.1,12.6,21,60,191.9,42.6,6.45,8.39,76.9,4.84,9.35,51.7,0.32,1.29,25,0,0.03,-0.03,0.97,2.26,0,0,42.6,0.97
Silas Fundu Wamangituka,cd COD,DF,Stuttgart,de Bundesliga,,,6.1,19.2,26.7,71.8,307.7,83.3,11,13.6,80.7,7.05,9.34,75.4,0.98,2.13,46.2,0.16,0.16,0,0.82,0.49,0.98,0.66,181.5,1.48
Ramiro Funes Mori,ar ARG,DF,Villarreal,es La Liga,29-266,1991,0.2,35,35,100,770,45,15,15,100,15,15,100,5,5,100,0,0,0,0,0,0,0,55,0
Darnell Furlong,eng ENG,DF,West Brom,eng Premier League,25-026,1995,7.8,26.7,41.8,63.8,519.9,219.4,11.5,14.4,80.4,10.4,15.8,65.9,4.1,9.1,45.1,0.13,0.17,-0.04,0.9,2.95,0.77,0.64,82.3,3.21
Matteo Gabbia,it ITA,DF,Milan,it Serie A,21-036,1999,4,50.8,53.8,94.4,1065.3,237.5,15,15.8,95.2,26.5,27.8,95.5,7.75,8.75,88.6,0,0,0,0.25,0.75,0,0,67.5,1
Manolo Gabbiadini,it ITA,FW,Sampdoria,it Serie A,29-000,1991,0.1,0,10,0,0,0,0,10,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Mijat Gaćinović,rs SRB,FWMF,Hoffenheim,de Bundesliga,25-292,1995,2.2,26.8,38.2,70.2,466.4,155.5,13.6,19.5,69.8,8.64,10,86.4,4.09,7.27,56.3,0.45,0.23,0.23,1.82,2.27,0.45,0,85.9,3.18
Roberto Gagliardini,it ITA,MF,Inter,it Serie A,26-233,1994,3.2,53.4,59.4,90,966.9,226.3,24.1,25.9,92.8,22.2,24.1,92.2,6.56,8.44,77.8,0.31,0.31,0,1.25,8.13,0,0,150.6,7.19
Riccardo Gagliolo,se SWE,DF,Parma,it Serie A,30-212,1990,5.3,49.6,60.9,81.4,1128.3,488.9,10.9,12.5,87.9,28.9,32.8,87.9,9.25,14.7,62.8,0.19,0.02,0.17,0.38,3.02,0.38,0,174.9,5.09
Andrey Galabinov,bg BUL,FW,Spezia,it Serie A,31-365,1988,2.3,15.7,22.2,70.6,273.9,48.3,8.26,10,82.6,4.35,7.39,58.8,2.61,3.91,66.7,0,0,0,0,0.87,0.43,0,83.9,1.3
Javi Galán,es ESP,DF,Huesca,es La Liga,26-007,1994,8.4,37.4,47.7,78.3,644.8,238.3,19,20.7,92,15,18.2,82.4,3.33,7.38,45.2,0.12,0.12,0,0.95,1.43,2.14,1.07,161.9,3.1
Conor Gallagher,eng ENG,MF,West Brom,eng Premier League,20-294,2000,5,31.2,38.6,80.8,555.6,140,14.6,18,81.1,12.2,13.8,88.4,3.6,4.8,75,0,0.04,-0.04,1,4.6,0.2,0,93,2.8
Enric Gallego,es ESP,FW,Osasuna,es La Liga,34-075,1986,4.9,16.9,31.4,53.9,254.7,70.8,8.78,14.9,58.9,6.53,11,59.3,1.02,2.86,35.7,0,0.08,-0.08,0.82,3.06,0.82,0.2,36.3,2.86
Kévin Gameiro,fr FRA,FW,Valencia,es La Liga,33-201,1987,3.6,19.4,25,77.8,275.3,35.8,11.1,12.5,88.9,6.39,8.89,71.9,0.83,0.83,100,0.28,0.25,0.03,0.56,0.28,0.28,0,36.4,0.83
Idrissa Gana Gueye,sn SEN,MF,Paris S-G,fr Ligue 1,31-061,1989,5.3,94.9,103.8,91.5,1584.9,420.6,45.1,48.1,93.7,39.6,42.8,92.5,7.74,9.25,83.7,0,0.06,-0.06,0.94,10.8,0.57,0.19,258.3,7.55
Ignatius Ganago,cm CMR,FW,Lens,fr Ligue 1,21-284,1999,4.4,13.6,18.2,75,204.3,38.9,7.5,9.09,82.5,4.32,6.14,70.4,0.91,1.36,66.7,0,0.11,-0.11,0.68,1.14,0,0,84.3,0.68
Borja Garcí­a,es ESP,MFFW,Huesca,es La Liga,30-024,1990,6.6,35.5,42.3,83.9,601.2,111.4,19.2,21.4,90.1,11.7,13.5,86.5,4.09,5.61,73,0,0.08,-0.08,1.21,2.58,0.61,0,103.6,2.58
Dani Garcí­a,es ESP,MF,Athletic Club,es La Liga,30-186,1990,7,40.7,50.6,80.5,910,177.6,12.1,15,81,18.9,21.3,88.6,9,12.3,73.3,0.14,0.04,0.1,0.57,4.71,0.29,0.14,90.6,3.57
David Garcí­a,es ESP,DF,Osasuna,es La Liga,26-286,1994,9,26,38.9,66.9,606.6,260.6,7,9.67,72.4,12.6,16.8,74.8,5.89,11.7,50.5,0,0.01,-0.01,0.11,2.44,0,0,40.1,2.89
Eric Garcí­a,es ESP,DF,Manchester City,eng Premier League,19-322,2001,2,94,99.5,94.5,1820,542.5,33.5,35.5,94.4,49,49.5,99,11,14,78.6,0,0,0,0.5,9.5,0,0,347.5,6
Manu Garcí­a,es ESP,MFDF,Alavés,es La Liga,34-214,1986,1.5,20,29.3,68.2,378.7,111.3,10,11.3,88.2,7.33,10,73.3,2.67,6.67,40,0,0,0,0,0.67,0,0,89.3,1.33
Raúl Garcí­a,es ESP,DFMF,Valladolid,es La Liga,31-210,1989,3.6,32.8,48.1,68.2,575,257.8,16.7,20.8,80,12.8,18.1,70.8,2.5,6.94,36,0,0.06,-0.06,0.83,2.78,0.56,0.56,92.8,2.5
Raúl Garcí­a,es ESP,FWMF,Athletic Club,es La Liga,34-138,1986,7.1,14.9,28.7,52,257.7,94.4,6.62,11.4,58,5.07,10,50.7,2.11,4.51,46.9,0,0,0,0.14,2.54,0.85,0,24.4,2.96
Rubén Garcí­a,es ESP,MFFW,Osasuna,es La Liga,27-135,1993,8.5,21.5,33.8,63.8,469.9,116.5,8,10.5,76.4,7.53,11.3,66.7,5.53,9.76,56.6,0.12,0.07,0.05,0.94,2.35,0.59,0.35,59.4,1.76
Sergi Garcí­a,es ESP,MF,Alavés,es La Liga,21-226,1999,0.2,25,40,62.5,575,0,5,15,33.3,15,20,75,5,5,100,0,0,0,0,0,0,0,130,0
Unai Garcí­a,es ESP,DF,Osasuna,es La Liga,28-297,1992,4.4,23.6,34.3,68.9,645.2,246.6,3.86,5.45,70.8,12.3,15.5,79.4,7.5,12.5,60,0,0,0,0.23,3.18,0.23,0,77.3,1.82
Mario Gaspar,es ESP,DF,Villarreal,es La Liga,30-002,1990,9.1,48.7,55.7,87.4,871.9,316.4,19.8,21.1,93.8,24.4,26.2,93.3,3.85,6.37,60.3,0.22,0.15,0.07,0.88,2.31,1.43,0.66,111.9,3.3
Yann Gboho,fr FRA,MFFW,Rennes,fr Ligue 1,19-317,2001,2.3,24.3,33,73.7,348.3,88.7,15.2,18.3,83.3,7.83,11.3,69.2,0.87,1.3,66.7,0,0.09,-0.09,1.74,0.87,1.3,0,244.3,3.91
David de Gea,es ESP,GK,Manchester Utd,eng Premier League,30-019,1990,8,16.5,21.8,75.9,413.8,265.5,5.13,5.13,100,6.88,7.13,96.5,4.38,9.25,47.3,0,0,0,0,0,0,0,12.5,0
Christian Gebauer,at AUT,FWMF,Arminia,de Bundesliga,26-342,1993,1,19,27,70.4,310,143,9,12,75,5,9,55.6,3,4,75,0,0,0,0,1,1,0,103,3
Theodor Gebre Selassie,cz CZE,DF,Werder Bremen,de Bundesliga,33-338,1986,8,32.6,42.3,77.2,620.4,278.4,11.9,14.4,82.6,16.8,21.5,77.9,3.75,5.38,69.8,0.13,0.03,0.1,0.63,2.13,0.75,0.38,43.9,3
Dennis Geiger,de GER,MF,Hoffenheim,de Bundesliga,22-169,1998,5.9,35.1,44.4,79,731.4,231,12.9,14.2,90.5,14.9,17.5,85.4,6.44,11,58.5,0.17,0.24,-0.07,2.03,3.73,0.85,0,88.3,5.25
Christian Gentner,de GER,MF,Union Berlin,de Bundesliga,35-104,1985,2.9,30,37.2,80.6,551.7,167.9,12.4,14.5,85.7,12.1,13.8,87.5,4.48,7.93,56.5,0,0.28,-0.28,1.03,4.14,0.34,0.34,52.8,3.45
Yannick Gerhardt,de GER,MFFW,Wolfsburg,de Bundesliga,26-258,1994,3.3,25.8,36.4,70.8,477,167.6,10.9,14.8,73.5,12.4,16.1,77.4,2.12,3.33,63.6,0,0.03,-0.03,0.3,4.24,0.3,0,90,5.15
Valère Germain,fr FRA,FWMF,Marseille,fr Ligue 1,30-223,1990,1.8,19.4,28.9,67.3,307.2,38.9,7.22,11.1,65,7.22,11.1,65,2.22,2.78,80,0,0,0,0,1.67,0,0,17.8,0
Gervinho,ci CIV,FW,Parma,it Serie A,33-183,1987,6.1,15.4,20.2,76.4,228.4,39,9.02,11.1,80.9,5.41,6.72,80.5,0.49,1.31,37.5,0,0.1,-0.1,1.15,0.66,0.49,0,157.4,1.15
Willem Geubbels,fr FRA,FWMF,Monaco,fr Ligue 1,19-102,2001,2,25,33.5,74.6,448.5,70.5,9,11.5,78.3,11,14.5,75.9,3,4,75,0,0.05,-0.05,1,2,0.5,0,76,1.5
Hamadi Al Ghaddioui,ma MAR,MFFW,Stuttgart,de Bundesliga,30-065,1990,0.2,35,45,77.8,630,270,15,20,75,15,20,75,5,5,100,0,0,0,0,5,0,0,320,5
Anwar El Ghazi,nl NED,FW,Aston Villa,eng Premier League,25-207,1995,0.2,50,65,76.9,820,350,30,30,100,15,15,100,5,20,25,0,0.5,-0.5,5,0,10,5,195,15
Paolo Ghiglione,it ITA,DF,Genoa,it Serie A,23-298,1997,5.6,32.1,46.1,69.8,582,213,13.8,15.4,89.5,14.6,19.8,73.9,3.21,8.57,37.5,0.36,0.2,0.16,0.89,1.43,1.07,0.71,123.9,3.04
Faouzi Ghoulam,dz ALG,FW,Napoli,it Serie A,29-299,1991,0.6,30,41.7,72,443.3,76.7,18.3,21.7,84.6,6.67,8.33,80,3.33,6.67,50,0,0,0,0,1.67,0,0,125,0
Kieran Gibbs,eng ENG,DFMF,West Brom,eng Premier League,31-061,1989,1.5,38.7,50,77.3,592.7,202,22.7,24.7,91.9,13.3,17.3,76.9,2,6.67,30,0,0,0,0,1.33,0,0,143.3,2.67
Niko GieíŸelmann,de GER,DFMF,Union Berlin,de Bundesliga,29-061,1991,0.2,75,100,75,1815,810,25,40,62.5,30,35,85.7,20,25,80,0,0.5,-0.5,5,10,0,0,#N/A,15
Rafał Gikiewicz,pl POL,GK,Augsburg,de Bundesliga,33-031,1987,8,30.9,43.1,71.6,865,479.4,7.63,7.63,100,12.9,13.1,98.1,10.4,22.4,46.4,0,0,0,0,0.25,0,0,64.1,0
David Gil,es ESP,GK,Cádiz,es La Liga,26-320,1994,1,12,37,32.4,475,357,0,0,,4,5,80,8,32,25,0,0,0,0,0,0,0,91,0
ílvaro Giménez,es ESP,FWMF,Cádiz,es La Liga,29-191,1991,1.1,11.8,22.7,52,168.2,15.5,7.27,10.9,66.7,4.55,7.27,62.5,0,2.73,0,0.91,0,0.91,0.91,0.91,0,0,#N/A,0
Daniel Ginczek,de GER,FW,Wolfsburg,de Bundesliga,29-227,1991,1.1,13.6,24.5,55.6,280,64.5,5.45,9.09,60,6.36,10,63.6,1.82,3.64,50,0,0,0,0,3.64,0.91,0,44.5,3.64
Matthias Ginter,de GER,DF,M'Gladbach,de Bundesliga,26-312,1994,8,64.1,75.9,84.5,1409.5,510.9,19.1,20.4,93.9,32.6,36.4,89.7,11.8,18,65.3,0,0.04,-0.04,0.25,4.63,0.38,0,223.6,5
Andrei Girotto,br BRA,DFMF,Nantes,fr Ligue 1,28-283,1992,8,44.4,53,83.7,904.1,304.5,15.4,16.8,91.8,21.4,25.3,84.7,7.13,9.88,72.2,0,0,0,0,4.25,0.13,0,103.9,4.38
Olivier Giroud,fr FRA,FW,Chelsea,eng Premier League,34-057,1986,0.4,25,37.5,66.7,350,30,17.5,22.5,77.8,7.5,10,75,0,0,,0,0,0,0,0,0,0,10,0
Kamil Glik,pl POL,DF,Benevento,it Serie A,32-297,1988,8,32.9,38.5,85.4,689.3,183.1,9.13,10,91.3,17.5,19.5,89.7,5.5,8.13,67.7,0,0,0,0,0.75,0,0,79.8,0.88
Serge Gnabry,de GER,FW,Bayern Munich,de Bundesliga,25-135,1995,5.8,41,52.1,78.8,694.8,143.8,19.5,23.6,82.5,17.8,20.9,85.1,3.1,5.34,58.1,0,0.24,-0.24,1.38,2.41,2.07,0.34,187.1,3.79
Ben Godfrey,eng ENG,DF,Everton,eng Premier League,22-316,1998,2.7,34.1,41.9,81.4,608.1,151.1,12.2,13,94.3,16.7,17.8,93.8,2.96,6.3,47.1,0,0,0,0,1.85,0.37,0,80.7,0.37
Diego Godí­n,uy URU,DF,Cagliari,it Serie A,34-284,1986,4.9,49.8,58.8,84.7,1207.1,385.1,11,12.2,90,24.3,26.3,92.2,14.1,19.4,72.6,0,0,0,0,1.02,0,0,90.4,0.82
Akaki Gogia,de GER,FW,Union Berlin,de Bundesliga,28-313,1992,1,28,33,84.8,469,162,14,15,93.3,11,15,73.3,2,2,100,1,0.4,0.6,2,1,1,0,59,4
Amer Gojak,ba BIH,MF,Torino,it Serie A,23-287,1997,0.7,40,55.7,71.8,695.7,81.4,22.9,24.3,94.1,12.9,18.6,69.2,4.29,11.4,37.5,0,0,0,0,4.29,0,0,44.3,2.86
Edoardo Goldaniga,it ITA,DF,Genoa,it Serie A,27-024,1993,5.2,40.2,50.4,79.8,884.8,319.4,11.9,13.1,91.2,19.6,22.7,86.4,8.27,13.3,62.3,0.19,0.1,0.1,0.38,2.5,0.58,0,120.4,2.69
